code;description;type;manufacturer;standard
P0366;" Camshaft Position Sensor ""B"" Circuit Range/Performance (Bank 1) ";common;common;ESOBD
P0367;" Camshaft Position Sensor ""B"" Circuit Low (Bank 1) ";common;common;ESOBD
P0368;" Camshaft Position Sensor ""B"" Circuit High (Bank 1) ";common;common;ESOBD
P0369;" Camshaft Position Sensor ""B"" Circuit Intermittent (Bank 1) ";common;common;ESOBD
P0370; Timing Reference High Resolution Signal A Malfunction ;common;common;ESOBD
P0371; Timing Reference High Resolution Signal A Too Many Pulses ;common;common;ESOBD
P0372; Timing Reference High Resolution Signal A Too Few Pulses ;common;common;ESOBD
P0373; Timing Reference High Resolution Signal A Intermittent/Erratic Pulses ;common;common;ESOBD
P0374; Timing Reference High Resolution Signal A No Pulses ;common;common;ESOBD
P0375; Timing Reference High Resolution Signal B Malfunction ;common;common;ESOBD
P0376; Timing Reference High Resolution Signal B Too Many Pulses ;common;common;ESOBD
P0377; Timing Reference High Resolution Signal B Too Few Pulses ;common;common;ESOBD
P0378; Timing Reference High Resolution Signal B Intermittent/Erratic Pulses ;common;common;ESOBD
P0379; Timing Reference High Resolution Signal B No Pulses ;common;common;ESOBD
P0380;" Glow Plug/Heater Circuit ""A"" Malfunction ";common;common;ESOBD
P0381; Glow Plug/Heater Indicator Circuit Malfunction ;common;common;ESOBD
P0382; Exhaust Gas Recirculation Flow Malfunction ;common;common;ESOBD
P0383; Glow Plug Control Module Control Circuit Low ;common;common;ESOBD
P0384; Glow Plug Control Module Control Circuit High ;common;common;ESOBD
P0385; Crankshaft Position Sensor B Circuit Malfunction ;common;common;ESOBD
P0386; Crankshaft Position Sensor B Circuit Range/Performance ;common;common;ESOBD
P0387; Crankshaft Position Sensor B Circuit Low Input ;common;common;ESOBD
P0388; Crankshaft Position Sensor B Circuit High Input ;common;common;ESOBD
P0389; Crankshaft Position Sensor B Circuit Intermittent ;common;common;ESOBD
P0390;" Camshaft Position Sensor ""B"" Circuit (Bank 2) ";common;common;ESOBD
P0391;" Camshaft Position Sensor ""B"" Circuit Range/Performance (Bank 2) ";common;common;ESOBD
P0392;" Camshaft Position Sensor ""B"" Circuit Low (Bank 2) ";common;common;ESOBD
P0393;" Camshaft Position Sensor ""B"" Circuit High (Bank 2) ";common;common;ESOBD
P0394;" Camshaft Position Sensor ""B"" Circuit Intermittent (Bank 2)";common;common;ESOBD
P0400; Exhaust Gas Recirculation Flow Malfunction ;common;common;ESOBD
P0401; Exhaust Gas Recirculation Flow Insufficient Detected ;common;common;ESOBD
P0402; Exhaust Gas Recirculation Flow Excessive Detected ;common;common;ESOBD
P0403; Exhaust Gas Recirculation Circuit Malfunction ;common;common;ESOBD
P0404; Exhaust Gas Recirculation Circuit Range/Performance ;common;common;ESOBD
P0405; Exhaust Gas Recirculation Sensor A Circuit Low ;common;common;ESOBD
P0406; Exhaust Gas Recirculation Sensor A Circuit High ;common;common;ESOBD
P0407; Exhaust Gas Recirculation Sensor B Circuit Low ;common;common;ESOBD
P0408; Exhaust Gas Recirculation Sensor B Circuit High ;common;common;ESOBD
P0409;" Exhaust Gas Recirculation Sensor ""A"" Circuit ";common;common;ESOBD
P0410; Secondary Air Injection System Malfunction ;common;common;ESOBD
P0411; Secondary Air Injection System Incorrect Flow Detected ;common;common;ESOBD
P0412; Secondary Air Injection System Switching Valve A Circuit Malfunction ;common;common;ESOBD
P0413; Secondary Air Injection System Switching Valve A Circuit Open ;common;common;ESOBD
P0414; Secondary Air Injection System Switching Valve A Circuit Shorted ;common;common;ESOBD
P0415; Secondary Air Injection System Switching Valve B Circuit Malfunction ;common;common;ESOBD
P0416; Secondary Air Injection System Switching Valve B Circuit Open ;common;common;ESOBD
P0417; Secondary Air Injection System Switching Valve B Circuit Shorted ;common;common;ESOBD
P0418;" Secondary Air Injection System Relay ""A"" Circuit Malfunction ";common;common;ESOBD
P0419;" Secondary Air Injection System Relay ""B"" Circuit Malfunction ";common;common;ESOBD
P0420; Catalyst System Efficiency Below Threshold (Bank 1) ;common;common;ESOBD
P0421; Warm Up Catalyst Efficiency Below Threshold (Bank 1) ;common;common;ESOBD
P0422; Main Catalyst Efficiency Below Threshold (Bank 1) ;common;common;ESOBD
P0423; Heated Catalyst Efficiency Below Threshold (Bank 1) ;common;common;ESOBD
P0424; Heated Catalyst Temperature Below Threshold (Bank 1) ;common;common;ESOBD
P0424; Heated Catalyst Temperature Below Threshold (Bank 1) ;common;common;ESOBD
P0425; Catalyst Temperature Sensor (Bank 1) ;common;common;ESOBD
P0426; Catalyst Temperature Sensor Range/Performance (Bank 1) ;common;common;ESOBD
P0427; Catalyst Temperature Sensor Low (Bank 1) ;common;common;ESOBD
P0428; Catalyst Temperature Sensor High (Bank 1) ;common;common;ESOBD
P0429; Catalyst Heater Control Circuit ;common;common;ESOBD
P0430; Catalyst System Efficiency Below Threshold (Bank 2) ;common;common;ESOBD
P0431; Warm Up Catalyst Efficiency Below Threshold (Bank 2) ;common;common;ESOBD
P0432; Main Catalyst Efficiency Below Threshold (Bank 2) ;common;common;ESOBD
P0433; Heated Catalyst Efficiency Below Threshold (Bank 2) ;common;common;ESOBD
P0434; Heated Catalyst Temperature Below Threshold (Bank 2) ;common;common;ESOBD
P0435; Catalyst Temperature Sensor (Bank 2) ;common;common;ESOBD
P0436; Catalyst Temperature Sensor Range/Performance (Bank 2) ;common;common;ESOBD
P0437; Catalyst Temperature Sensor Low (Bank 2) ;common;common;ESOBD
P0438; Catalyst Temperature Sensor High (Bank 2) ;common;common;ESOBD
P0439; Catalyst Heater Control Circuit ;common;common;ESOBD
P0440; Evaporative Emission Control System Malfunction ;common;common;ESOBD
P0441; Evaporative Emission Control System Incorrect Purge Flow ;common;common;ESOBD
P0442; Evaporative Emission Control System Leak Detected (small leak) ;common;common;ESOBD
P0443; Evaporative Emission Control System Purge Control Valve Circuit ;common;common;ESOBD
P0444; Evaporative Emission Control System Purge Control Valve Circuit Open ;common;common;ESOBD
P0445; Evaporative Emission Control System Purge Control Valve Circuit Shorted ;common;common;ESOBD
P0446; Evaporative Emission Control System Vent Control Circuit Malfunction ;common;common;ESOBD
P0447; Evaporative Emission Control System Vent Control Circuit Open ;common;common;ESOBD
P0448; Evaporative Emission Control System Vent Control Circuit Shorted ;common;common;ESOBD
P0449; Evaporative Emission Control System Vent Valve/Solenoid Circuit Malfunction ;common;common;ESOBD
P0450; Evaporative Emission Control System Pressure Sensor Malfunction ;common;common;ESOBD
P0451; Evaporative Emission Control System Pressure Sensor Range/Performance ;common;common;ESOBD
P0452; Evaporative Emission Control System Pressure Sensor Low Input ;common;common;ESOBD
P0453; Evaporative Emission Control System Pressure Sensor High Input ;common;common;ESOBD
P0454; Evaporative Emission Control System Pressure Sensor Intermittent ;common;common;ESOBD
P0455; Evaporative Emission Control System Leak Detected (gross leak) ;common;common;ESOBD
P0456; Evaporative Emissions System Small Leak Detected ;common;common;ESOBD
P0457; Evaporative Emission Control System Leak Detected ;common;common;ESOBD
P0458; Evaporative Emission System Purge Control Valve Circuit Low ;common;common;ESOBD
P0459; Evaporative Emission System Purge Control Valve Circuit High ;common;common;ESOBD
P0460; Fuel Level Sensor Circuit Malfunction ;common;common;ESOBD
P0461; Fuel Level Sensor Circuit Range/Performance ;common;common;ESOBD
P0462; Fuel Level Sensor Circuit Low Input ;common;common;ESOBD
P0463; Fuel Level Sensor Circuit High Input ;common;common;ESOBD
P0464; Fuel Level Sensor Circuit Intermittent ;common;common;ESOBD
P0465; Purge Flow Sensor Circuit Malfunction ;common;common;ESOBD
P0466; Purge Flow Sensor Circuit Range/Performance ;common;common;ESOBD
P0467; Purge Flow Sensor Circuit Low Input ;common;common;ESOBD
P0468; Purge Flow Sensor Circuit High Input ;common;common;ESOBD
P0469; Purge Flow Sensor Circuit Intermittent ;common;common;ESOBD
P0470; Exhaust Pressure Sensor Malfunction ;common;common;ESOBD
P0471; Exhaust Pressure Sensor Range/Performance ;common;common;ESOBD
P0472; Exhaust Pressure Sensor Low ;common;common;ESOBD
P0473; Exhaust Pressure Sensor High ;common;common;ESOBD
P0474; Exhaust Pressure Sensor Intermittent ;common;common;ESOBD
P0475; Exhaust Pressure Control Valve Malfunction ;common;common;ESOBD
P0476; Exhaust Pressure Control Valve Range/Performance ;common;common;ESOBD
P0477; Exhaust Pressure Control Valve Low ;common;common;ESOBD
P0478; Exhaust Pressure Control Valve High ;common;common;ESOBD
P0479; Exhaust Pressure Control Valve Intermittent ;common;common;ESOBD
P0480; Cooling Fan I Control Circuit Malfunction ;common;common;ESOBD
P0481; Cooling Fan 2 Control Circuit Malfunction ;common;common;ESOBD
P0482; Cooling Fan 3 Control Circuit Malfunction ;common;common;ESOBD
P0483; Cooling Fan Rationality Check Malfunction ;common;common;ESOBD
P0484; Cooling Fan Circuit Over Current ;common;common;ESOBD
P0485; Cooling Fan Power/Ground Circuit Malfunction ;common;common;ESOBD
P0486;" Exhaust Gas Recirculation Sensor ""B"" Circuit ";common;common;ESOBD
P0487;" Exhaust Gas Recirculation Throttle Control Circuit ""A"" Open ";common;common;ESOBD
P0488;" Exhaust Gas Recirculation Throttle Control Circuit ""A"" Range/Performance ";common;common;ESOBD
P0489;" Exhaust Gas Recirculation ""A"" Control Circuit Low ";common;common;ESOBD
P0490;" Exhaust Gas Recirculation ""A"" Control Circuit High ";common;common;ESOBD
P0491; Secondary Air Injection System Insufficient Flow Bank 1 ;common;common;ESOBD
P0492; Secondary Air Injection System Insufficient Flow Bank 2 ;common;common;ESOBD
P0493; Fan Overspeed ;common;common;ESOBD
P0494; Fan Speed Low ;common;common;ESOBD
P0495; Fan Speed High ;common;common;ESOBD
P0496; EVAP Flow During A Non-Purge Condition ;common;common;ESOBD
P0497; Evaporative Emission System Low Purge Flow ;common;common;ESOBD
P0498; Evaporative Emission System Vent Valve Control Circuit Low ;common;common;ESOBD
P0499; Evaporative Emission System Vent Valve Control Circuit High ;common;common;ESOBD
P0500; Vehicle Speed Sensor Malfunction ;common;common;ESOBD
P0501; Vehicle Speed Sensor Range/Performance ;common;common;ESOBD
P0502; Vehicle Speed Sensor Low Input ;common;common;ESOBD
P0503; Vehicle Speed Sensor Intermittent/Erratic/High ;common;common;ESOBD
P0504;" Brake Switch ""A""/""B"" Correlation ";common;common;ESOBD
P0505; Idle Control System Malfunction ;common;common;ESOBD
P0506; Idle Control System RPM Lower Than Expected ;common;common;ESOBD
P0507; Idle Control System RPM Higher Than Expected ;common;common;ESOBD
P0508; Idle Air Control System Circuit Low ;common;common;ESOBD
P0509; Idle Air Control System Circuit High ;common;common;ESOBD
P0510; Closed Throttle Position Switch Malfunction ;common;common;ESOBD
P0511; Idle Air Control Circuit ;common;common;ESOBD
P0512; Starter Request Circuit ;common;common;ESOBD
P0513; Incorrect Immobilizer Key ;common;common;ESOBD
P0514; Battery Temperature Sensor Circuit Range/Performance ;common;common;ESOBD
P0515; Battery Temperature Sensor Circuit ;common;common;ESOBD
P0516; Battery Temperature Sensor Circuit Low ;common;common;ESOBD
P0517; Battery Temperature Sensor Circuit High ;common;common;ESOBD
P0518; Idle Air Control Circuit Intermittent ;common;common;ESOBD
P0519; Idle Air Control System Performance ;common;common;ESOBD
P0520; Engine Oil Pressure Sensor/Switch Circuit Malfunction ;common;common;ESOBD
P0521; Engine Oil Pressure Sensor/Switch Circuit Range/Performance ;common;common;ESOBD
P0522; Engine Oil Pressure Sensor/Switch Circuit Low Voltage ;common;common;ESOBD
P0523; Engine Oil Pressure Sensor/Switch Circuit High Voltage ;common;common;ESOBD
P0524; Engine Oil Pressure Too Low ;common;common;ESOBD
P0525; Cruise Control Servo Control Circuit Range/Performance ;common;common;ESOBD
P0526; Fan Speed Sensor Circuit ;common;common;ESOBD
P0527; Fan Speed Sensor Circuit Range/Performance ;common;common;ESOBD
P0528; Fan Speed Sensor Circuit No Signal ;common;common;ESOBD
P0529; Fan Speed Sensor Circuit Intermittent ;common;common;ESOBD
P0530; A/C Refrigerant Pressure Sensor Circuit Malfunction ;common;common;ESOBD
P0531; A/C Refrigerant Pressure Sensor Circuit Range/Performance ;common;common;ESOBD
P0532; A/C Refrigerant Pressure Sensor Circuit Low Input ;common;common;ESOBD
P0533; A/C Refrigerant Pressure Sensor Circuit High Input ;common;common;ESOBD
P0534; Air Conditioner Refrigerant Charge Loss ;common;common;ESOBD
P0535; A/C Evaporator Temperature Sensor Circuit ;common;common;ESOBD
P0536; A/C Evaporator Temperature Sensor Circuit Range/Performance ;common;common;ESOBD
P0537; A/C Evaporator Temperature Sensor Circuit Low ;common;common;ESOBD
P0538; A/C Evaporator Temperature Sensor Circuit High ;common;common;ESOBD
P0539; A/C Evaporator Temperature Sensor Circuit Intermittent ;common;common;ESOBD
P0540;" Intake Air Heater ""A"" Circuit ";common;common;ESOBD
P0541;" Intake Air Heater ""A"" Circuit Low ";common;common;ESOBD
P0542;" Intake Air Heater ""A"" Circuit High ";common;common;ESOBD
P0543;" Intake Air Heater ""A"" Circuit Open ";common;common;ESOBD
P0544; Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 1 ;common;common;ESOBD
P0545; Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 1 ;common;common;ESOBD
P0546; Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 1 ;common;common;ESOBD
P0547; Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 1 ;common;common;ESOBD
P0548; Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 1 ;common;common;ESOBD
P0549; Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 1 ;common;common;ESOBD
P0550; Power Steering Pressure Sensor Circuit Malfunction ;common;common;ESOBD
P0551; Power Steering Pressure Sensor Circuit Range/Performance ;common;common;ESOBD
P0552; Power Steering Pressure Sensor Circuit Low Input ;common;common;ESOBD
P0553; Power Steering Pressure Sensor Circuit High Input ;common;common;ESOBD
P0554; Power Steering Pressure Sensor Circuit Intermittent ;common;common;ESOBD
P0555; Brake Booster Pressure Sensor Circuit ;common;common;ESOBD
P0556; Brake Booster Pressure Sensor Circuit Range/Performance ;common;common;ESOBD
P0557; Brake Booster Pressure Sensor Circuit Low ;common;common;ESOBD
P0558; Brake Booster Pressure Sensor Circuit High ;common;common;ESOBD
P0559; Brake Booster Pressure Sensor Circuit Intermittent ;common;common;ESOBD
P0560; System Voltage Malfunction ;common;common;ESOBD
P0561; System Voltage Unstable ;common;common;ESOBD
P0562; System Voltage Low ;common;common;ESOBD
P0563; System Voltage High ;common;common;ESOBD
P0564;" Cruise Control Multi-Function Input ""A"" Circuit ";common;common;ESOBD
P0565; Cruise Control On Signal Malfunction ;common;common;ESOBD
P0566; Cruise Control Off Signal Malfunction ;common;common;ESOBD
P0567; Cruise Control Resume Signal Malfunction ;common;common;ESOBD
P0568; Cruise Control Set Signal Malfunction ;common;common;ESOBD
P0569; Cruise Control Coast Signal Malfunction ;common;common;ESOBD
P0570; Cruise Control Accel Signal Malfunction ;common;common;ESOBD
P0571; Cruise Control/Brake Switch A Circuit Malfunction ;common;common;ESOBD
P0572; Cruise Control/Brake Switch A Circuit Low ;common;common;ESOBD
P0573; Cruise Control/Brake Switch A Circuit High ;common;common;ESOBD
P0574; Cruise Control System - Vehicle Speed Too High ;common;common;ESOBD
P0575; Cruise Control Input Circuit ;common;common;ESOBD
P0576; Cruise Control Input Circuit Low ;common;common;ESOBD
P0577; Cruise Control Input Circuit High ;common;common;ESOBD
P0578;" Cruise Control Multi-Function Input ""A"" Circuit Stuck ";common;common;ESOBD
P0579;" Cruise Control Multi-Function Input ""A"" Circuit Range/Performance ";common;common;ESOBD
P0580;" Cruise Control Multi-Function Input ""A"" Circuit Low ";common;common;ESOBD
P0581;" Cruise Control Multi-Function Input ""A"" Circuit High ";common;common;ESOBD
P0582; Cruise Control Vacuum Control Circuit/Open ;common;common;ESOBD
P0583; Cruise Control Vacuum Control Circuit Low ;common;common;ESOBD
P0584; Cruise Control Vacuum Control Circuit High ;common;common;ESOBD
P0585;" Cruise Control Multi-Function Input ""A""/""B"" Correlation ";common;common;ESOBD
P0586; Cruise Control Vent Control Circuit/Open ;common;common;ESOBD
P0587; Cruise Control Vent Control Circuit Low ;common;common;ESOBD
P0588; Cruise Control Vent Control Circuit High ;common;common;ESOBD
P0589;" Cruise Control Multi-Function Input ""B"" Circuit ";common;common;ESOBD
P0590;" Cruise Control Multi-Function Input ""B"" Circuit Stuck ";common;common;ESOBD
P0591;" Cruise Control Multi-Function Input ""B"" Circuit Range/Performance ";common;common;ESOBD
P0592;" Cruise Control Multi-Function Input ""B"" Circuit Low ";common;common;ESOBD
P0593;" Cruise Control Multi-Function Input ""B"" Circuit High ";common;common;ESOBD
P0594; Cruise Control Servo Control Circuit/Open ;common;common;ESOBD
P0595; Cruise Control Servo Control Circuit Low ;common;common;ESOBD
P0596; Cruise Control Servo Control Circuit High ;common;common;ESOBD
P0597; Thermostat Heater Control Circuit/Open ;common;common;ESOBD
P0598; Thermostat Heater Control Circuit Low ;common;common;ESOBD
P0599; Thermostat Heater Control Circuit High;common;common;ESOBD
P0600; Serial Communication Link Malfunction ;common;common;ESOBD
P0601; Internal Control Module Memory Check Sum Error ;common;common;ESOBD
P0602; Control Module Programming Error ;common;common;ESOBD
P0603; Internal Control Module Keep Alive Memory (KAM) Error ;common;common;ESOBD
P0604; Internal Control Module Random Access Memory (RAM) Error ;common;common;ESOBD
P0605; Internal Control Module Read Only Memory (ROM) Error ;common;common;ESOBD
P0606; PCM Processor Fault ;common;common;ESOBD
P0607; Control Module Performance ;common;common;ESOBD
P0608;" Control Module VSS Output ""A"" Malfunction ";common;common;ESOBD
P0609;" Control Module VSS Output ""B"" Malfunction ";common;common;ESOBD
P0610; Control Module Vehicle Options Error ;common;common;ESOBD
P0611; Fuel Injector Control Module Performance ;common;common;ESOBD
P0612; Fuel Injector Control Module Relay Control ;common;common;ESOBD
P0613; TCM Processor ;common;common;ESOBD
P0614; ECM / TCM Incompatible ;common;common;ESOBD
P0615; Starter Relay Circuit ;common;common;ESOBD
P0616; Starter Relay Circuit Low ;common;common;ESOBD
P0617; Starter Relay Circuit High ;common;common;ESOBD
P0618; Alternative Fuel Control Module KAM Error ;common;common;ESOBD
P0619; Alternative Fuel Control Module RAM/ROM Error ;common;common;ESOBD
P0620; Generator Control Circuit Malfunction ;common;common;ESOBD
P0621;" Generator Lamp ""L"" Control Circuit Malfunction ";common;common;ESOBD
P0622;" Generator Field ""F"" Control Circuit Malfunction ";common;common;ESOBD
P0623; Generator Lamp Control Circuit ;common;common;ESOBD
P0624; Fuel Cap Lamp Control Circuit ;common;common;ESOBD
P0625; Generator Field/F Terminal Circuit Low ;common;common;ESOBD
P0626; Generator Field/F Terminal Circuit High ;common;common;ESOBD
P0627; Fuel Pump “A” Control Circuit /Open ;common;common;ESOBD
P0628; Fuel Pump “A” Control Circuit Low ;common;common;ESOBD
P0629; Fuel Pump “A” Control Circuit High ;common;common;ESOBD
P0630; VIN Not Programmed or Incompatible – ECM/PCM ;common;common;ESOBD
P0631; VIN Not Programmed or Incompatible – TCM ;common;common;ESOBD
P0632; Odometer Not Programmed – ECM/PCM ;common;common;ESOBD
P0633; Immobilizer Key Not Programmed – ECM/PCM ;common;common;ESOBD
P0634; PCM/ECM/TCM Internal Temperature Too High ;common;common;ESOBD
P0635; Power Steering Control Circuit ;common;common;ESOBD
P0636; Power Steering Control Circuit Low ;common;common;ESOBD
P0637; Power Steering Control Circuit High ;common;common;ESOBD
P0638; Throttle Actuator Control Range/Performance (Bank 1) ;common;common;ESOBD
P0639; Throttle Actuator Control Range/Performance (Bank 2) ;common;common;ESOBD
P0640; Intake Air Heater Control Circuit ;common;common;ESOBD
P0641; Sensor Reference Voltage “A” Circuit/Open ;common;common;ESOBD
P0642; Sensor Reference Voltage “A” Circuit Low ;common;common;ESOBD
P0643; Sensor Reference Voltage “A” Circuit High ;common;common;ESOBD
P0644; Driver Display Serial Communication Circuit ;common;common;ESOBD
P0645; A/C Clutch Relay Control Circuit ;common;common;ESOBD
P0646; A/C Clutch Relay Control Circuit Low ;common;common;ESOBD
P0647; A/C Clutch Relay Control Circuit High ;common;common;ESOBD
P0648; Immobilizer Lamp Control Circuit ;common;common;ESOBD
P0649; Speed Control Lamp Control Circuit ;common;common;ESOBD
P0650; Malfunction Indicator Lamp (MIL) Control Circuit Malfunction ;common;common;ESOBD
P0651; Sensor Reference Voltage “B” Circuit/Open ;common;common;ESOBD
P0652; Sensor Reference Voltage “B” Circuit Low ;common;common;ESOBD
P0653; Sensor Reference Voltage “B” Circuit High ;common;common;ESOBD
P0654; Engine RPM Output Circuit Malfunction ;common;common;ESOBD
P0655; Engine Hot Lamp Output Control Circuit Malfunction ;common;common;ESOBD
P0656; Fuel Level Output Circuit Malfunction ;common;common;ESOBD
P0657;" Actuator Supply Voltage ""A"" Circuit/Open ";common;common;ESOBD
P0658;" Actuator Supply Voltage ""A"" Circuit Low ";common;common;ESOBD
P0659;" Actuator Supply Voltage ""A"" Circuit High ";common;common;ESOBD
P0660; Intake Manifold Tuning Valve Control Circuit/Open Bank 1 ;common;common;ESOBD
P0661; Intake Manifold Tuning Valve Control Circuit Low Bank 1 ;common;common;ESOBD
P0662; Intake Manifold Tuning Valve Control Circuit High Bank 1 ;common;common;ESOBD
P0663; Intake Manifold Tuning Valve Control Circuit/Open Bank 2 ;common;common;ESOBD
P0664; Intake Manifold Tuning Valve Control Circuit Low Bank 2 ;common;common;ESOBD
P0665; Intake Manifold Tuning Valve Control Circuit High Bank 2 ;common;common;ESOBD
P0666; PCM/ECM/TCM Internal Temperature Sensor Circuit ;common;common;ESOBD
P0667; PCM/ECM/TCM Internal Temperature Sensor Range/Performance ;common;common;ESOBD
P0668; PCM/ECM/TCM Internal Temperature Sensor Circuit Low ;common;common;ESOBD
P0669; PCM/ECM/TCM Internal Temperature Sensor Circuit High ;common;common;ESOBD
P0670; Glow Plug Module Control Circuit ;common;common;ESOBD
P0671; Cylinder 1 Glow Plug Circuit ;common;common;ESOBD
P0672; Cylinder 2 Glow Plug Circuit ;common;common;ESOBD
P0673; Cylinder 3 Glow Plug Circuit ;common;common;ESOBD
P0674; Cylinder 4 Glow Plug Circuit ;common;common;ESOBD
P0675; Cylinder 5 Glow Plug Circuit ;common;common;ESOBD
P0676; Cylinder 6 Glow Plug Circuit ;common;common;ESOBD
P0677; Cylinder 7 Glow Plug Circuit ;common;common;ESOBD
P0678; Cylinder 8 Glow Plug Circuit ;common;common;ESOBD
P0679; Cylinder 9 Glow Plug Circuit ;common;common;ESOBD
P0680; Cylinder 10 Glow Plug Circuit ;common;common;ESOBD
P0681; Cylinder 11 Glow Plug Circuit ;common;common;ESOBD
P0682; Cylinder 12 Glow Plug Circuit ;common;common;ESOBD
P0683; Glow Plug Control Module to PCM Communication Circuit ;common;common;ESOBD
P0684; Glow Plug Control Module to PCM Communication Circuit Range/Performance ;common;common;ESOBD
P0685; ECM/PCM Power Relay Control Circuit /Open ;common;common;ESOBD
P0686; ECM/PCM Power Relay Control Circuit Low ;common;common;ESOBD
P0687; ECM/PCM Power Relay Control Circuit High ;common;common;ESOBD
P0688; ECM/PCM Power Relay Sense Circuit /Open ;common;common;ESOBD
P0689; ECM/PCM Power Relay Sense Circuit Low ;common;common;ESOBD
P0690; ECM/PCM Power Relay Sense Circuit High ;common;common;ESOBD
P0691; Fan 1 Control Circuit Low ;common;common;ESOBD
P0692; Fan 1 Control Circuit High ;common;common;ESOBD
P0693; Fan 2 Control Circuit Low ;common;common;ESOBD
P0694; Fan 2 Control Circuit High ;common;common;ESOBD
P0695; Fan 3 Control Circuit Low ;common;common;ESOBD
P0696; Fan 3 Control Circuit High ;common;common;ESOBD
P0697; Sensor Reference Voltage “C” Circuit/Open ;common;common;ESOBD
P0698; Sensor Reference Voltage “C” Circuit Low ;common;common;ESOBD
P0699; Sensor Reference Voltage “C” Circuit High;common;common;ESOBD
P0700; Transmission Control System Malfunction ;common;common;ESOBD
P0701; Transmission Control System Range/Performance ;common;common;ESOBD
P0702; Transmission Control System Electrical ;common;common;ESOBD
P0703; Torque Converter/Brake Switch B Circuit Malfunction ;common;common;ESOBD
P0704; Clutch Switch Input Circuit Malfunction ;common;common;ESOBD
P0705; Transmission Range Sensor Circuit malfunction (PRNDL Input) ;common;common;ESOBD
P0706; Transmission Range Sensor Circuit Range/Performance ;common;common;ESOBD
P0707; Transmission Range Sensor Circuit Low Input ;common;common;ESOBD
P0708; Transmission Range Sensor Circuit High Input ;common;common;ESOBD
P0709; Transmission Range Sensor Circuit Intermittent ;common;common;ESOBD
P0710; Transmission Fluid Temperature Sensor Circuit Malfunction ;common;common;ESOBD
P0711; Transmission Fluid Temperature Sensor Circuit Range/Performance ;common;common;ESOBD
P0712; Transmission Fluid Temperature Sensor Circuit Low Input ;common;common;ESOBD
P0713; Transmission Fluid Temperature Sensor Circuit High Input ;common;common;ESOBD
P0714; Transmission Fluid Temperature Sensor Circuit Intermittent ;common;common;ESOBD
P0715; Input/Turbine Speed Sensor Circuit Malfunction ;common;common;ESOBD
P0716; Input/Turbine Speed Sensor Circuit Range/Performance ;common;common;ESOBD
P0717; Input/Turbine Speed Sensor Circuit No Signal ;common;common;ESOBD
P0718; Input/Turbine Speed Sensor Circuit Intermittent ;common;common;ESOBD
P0719; Torque Converter/Brake Switch B Circuit Low ;common;common;ESOBD
P0720; Output Speed Sensor Circuit Malfunction ;common;common;ESOBD
P0721; Output Speed Sensor Range/Performance ;common;common;ESOBD
P0722; Output Speed Sensor No Signal ;common;common;ESOBD
P0723; Output Speed Sensor Intermittent ;common;common;ESOBD
P0724; Torque Converter/Brake Switch B Circuit High ;common;common;ESOBD
P0725; Engine Speed input Circuit Malfunction ;common;common;ESOBD
P0726; Engine Speed Input Circuit Range/Performance ;common;common;ESOBD
P0727; Engine Speed Input Circuit No Signal ;common;common;ESOBD
P0728; Engine Speed Input Circuit Intermittent ;common;common;ESOBD
P0729; Gear 6 Incorrect Ratio ;common;common;ESOBD
P0730; Incorrect Gear Ratio ;common;common;ESOBD
P0731; Gear I Incorrect ratio ;common;common;ESOBD
P0732; Gear 2 Incorrect ratio ;common;common;ESOBD
P0733; Gear 3 Incorrect ratio ;common;common;ESOBD
P0734; Gear 4 Incorrect ratio ;common;common;ESOBD
P0735; Gear 5 Incorrect ratio ;common;common;ESOBD
P0736; Reverse incorrect gear ratio ;common;common;ESOBD
P0737; TCM Engine Speed Output Circuit ;common;common;ESOBD
P0738; TCM Engine Speed Output Circuit Low ;common;common;ESOBD
P0739; TCM Engine Speed Output Circuit High ;common;common;ESOBD
P0740; Torque Converter Clutch Circuit Malfunction ;common;common;ESOBD
P0741; Torque Converter Clutch Circuit Performance or Stuck Off ;common;common;ESOBD
P0742; Torque Converter Clutch Circuit Stock On ;common;common;ESOBD
P0743; Torque Converter Clutch Circuit Electrical ;common;common;ESOBD
P0744; Torque Converter Clutch Circuit Intermittent ;common;common;ESOBD
P0745; Pressure Control Solenoid Malfunction ;common;common;ESOBD
P0746; Pressure Control Solenoid Performance or Stuck Off ;common;common;ESOBD
P0747; Pressure Control Solenoid Stuck On ;common;common;ESOBD
P0748; Pressure Control Solenoid Electrical ;common;common;ESOBD
P0749; Pressure Control Solenoid Intermittent ;common;common;ESOBD
P0750; Shift Solenoid A Malfunction ;common;common;ESOBD
P0751; Shift Solenoid A Performance or Stuck Off ;common;common;ESOBD
P0752; Shift Solenoid A Stuck On ;common;common;ESOBD
P0753; Shift Solenoid A Electrical ;common;common;ESOBD
P0754; Shift Solenoid A Intermittent ;common;common;ESOBD
P0755; Shift Solenoid B Malfunction ;common;common;ESOBD
P0756; Shift Solenoid B Performance or Stock Off ;common;common;ESOBD
